Population on 1 January,,,,,,,,,,,,
persons,,,,,,,,,,,,
geo\time,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
EU (28 countries),498300775,500297033,502090235,503170618,502964837,504047964,505163008,507011330,508540103,510277177,511521685,512647966
EU (27 countries),493987245,495985066,497780439,498867771,498674980,499771980,500900868,502764521,504314787,506086508,507367472,508542473
Euro area (19 countries),331204579,333096775,334470255,335266424,334572589,335288924,336044966,337540639,338560247,339880049,340719423,341464266
Euro area (18 countries),327954596,329884170,331286399,332124448,331520001,332285283,333073061,334597167,335638985,336991491,337871519,338655365
Belgium,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11413058
Bulgaria,7572673,7518002,7467119,7421766,7369431,7327224,7284552,7245677,7202198,7153784,7101859,7050034
Czech Republic,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055
Denmark,5447084,5475791,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5781190
Germany,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82850000
Estonia,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315634,1319133
Ireland,4340118,4457765,4521322,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383,4838259
Greece,11036008,11060937,11094745,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10768193,10738868
Spain,44784666,45668939,46239273,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46527039,46659302
France,63645065,64007193,64350226,64658856,64978721,65276983,65600350,65942267,66456279,66730453,66989083,67221943
Croatia,4313530,4311967,4309796,4302847,4289857,4275984,4262140,4246809,4225316,4190669,4154213,4105493
Italy,58223744,58652875,59000586,59190143,59364690,59394207,59685227,60782668,60795612,60665551,60589445,60483973
Cyprus,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236
Latvia,2208840,2191810,2162834,2120504,2074605,2044813,2023825,2001468,1986096,1968957,1950116,1934379
Lithuania,3249983,3212605,3183856,3141976,3052588,3003641,2971905,2943472,2921262,2888558,2847904,2808901
Luxembourg,476187,483799,493500,502066,511840,524853,537039,549680,562958,576249,590667,602005
Hungary,10066158,10045401,10030975,10014324,9985722,9931925,9908798,9877365,9855571,9830485,9797561,9778371
Malta,405616,407832,410926,414027,414989,417546,422509,429424,439691,450415,460297,475701
Netherlands,16357992,16405399,16485787,16574989,16655799,16730348,16779575,16829289,16900726,16979120,17081507,17118084
Austria,8282984,8307989,8335003,8351643,8375164,8408121,8451860,8507786,8584926,8700471,8772865,8822267
Poland,38125479,38115641,38135876,38022869,38062718,38063792,38062535,38017856,38005614,37967209,37972964,37976687
Portugal,10532588,10553339,10563014,10573479,10572721,10542398,10487289,10427301,10374822,10341330,10309573,10291027
Romania,21130503,20635460,20440290,20294683,20199059,20095996,20020074,19947311,19870647,19760314,19644350,19523621
Slovenia,2010377,2010269,2032362,2046976,2050189,2055496,2058821,2061085,2062874,2064188,2065895,2066880
Slovakia,5373180,5376064,5382401,5390410,5392446,5404322,5410836,5415949,5421349,5426252,5435343,5443120
Finland,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130
Sweden,9113257,9182927,9256347,9340682,9415570,9482855,9555893,9644864,9747355,9851017,9995153,10120242
United Kingdom,61073279,61571647,62042343,62510197,63022532,63495303,63905297,64351155,64875165,65382556,65808573,66238007
Iceland,307672,315459,319368,317630,318452,319575,321857,325671,329100,332529,338349,348450
Liechtenstein,35168,35356,35589,35894,36149,36475,36838,37129,37366,37622,37810,38114
Norway,4681134,4737171,4799252,4858199,4920305,4985870,5051275,5107970,5166493,5213985,5258317,5295619
Switzerland,7508739,7593494,7701856,7785806,7870134,7954662,8039060,8139631,8237666,8327126,8419550,8482152
Montenegro,614624,615543,617157,619001,619850,620308,620893,621521,622099,622218,622387,622359
"Former Yugoslav Republic of Macedonia, the",2041941,2045177,2048619,2052722,2057284,2059794,2062294,2065769,2069172,2071278,2073702,2075301
Albania,2981755,2958266,2936355,2918674,2907361,2903008,2897770,2892394,2885796,2875592,2876591,2870324
Serbia,7397651,7365507,7334937,7306677,7251549,7216649,7181505,7146759,7114393,7076372,7040272,7001444
Turkey,69729967,70586256,71517100,72561312,73722988,74724269,75627384,76667864,77695904,78741053,79814871,80810525
Andorra,81222,83137,84484,84082,78115,78115,76246,,,71732,,
Belarus,9714461,9689770,9671912,9480178,9481193,9465150,9463840,9468154,9480868,9498364,9504704,9491823
Bosnia and Herzegovina,3844017,3843846,3843998,3844046,3843183,3839265,3835645,3830911,3825334,3515982,,
Kosovo (under United Nations Security Council Resolution 1244/99),2126708,2153139,2180686,2208107,1794180,1798645,1815605,1820631,1804944,1771604,1783531,
Moldova,3581110,3572703,3567512,3563695,3560430,3559541,3559497,3557634,3555159,3553056,3550852,3547539
Monaco,,,,,,,,,37700,38200,,
Russia,142220968,142008838,141903979,141914509,142856536,143056383,,143666931,,,,
San Marino,30368,32054,31269,:,31863,33376,33562,32520,32789,33005,,
Ukraine,46465691,46192309,45963359,45782592,45598179,45453282,45372692,45245894,42759661,42590879,42414905,42216766
Armenia,3222953,3230086,3237976,3249482,3262650,3274285,3026878,,3010598,2998577,2986151,2972732
Azerbaijan,8532700,8629900,8896900,8997586,9111078,9235085,9356483,9477119,9593038,9705643,9809981,
Georgia,4394702,4382070,4385429,4436391,4469250,4497617,,4490498,3729500,3720400,3726374,3729633
